Turn,Depth,Player,Move,FEN,Score_Tot,Score_Mov,Score_Tablero,Score_regreso,Score_Is_Check,Score_Check_Mate,Score_Is_Attacking,Score_Is_Castling,Score_Is_Attacked,Score_Estoy_Jaque,Score_Late_Move,Score_Early_Move,Score_Evitar_Empate,Score_Buscar_Empate,Move_Ant,Pieza,Estoy_Jaque,List_Possible_Squares,List_Attacks,Hist_Turn
29,0,True,h3f1,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPP1/PP2Q3/1RB1KBNR b Kq - 2 15,110.04718272738259,-1.0,110,0,0,0,1.0,0,-0.0,0,0,0,0,0,e2g2,B,False,"[12, 14, 23]",[12],"[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('h3f1')]"
29,0,True,e2b5,r3kbr1/p3ppp1/2n5/1QPp3p/8/4PPPB/PP6/1RB1K1NR b Kq - 0 15,121.22080848890865,0.0,120,0,0,0,1.2000000000000002,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[5, 9, 12, 17, 19, 24, 25, 26, 32, 34, 40, 41, 42, 49, 57]","[9, 34, 42]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2b5')]"
29,0,True,e2c4,r3kbr1/p3ppp1/2n5/1pPp3p/2Q5/4PPPB/PP6/1RB1K1NR b Kq - 2 15,-13.435502576081685,0.5,110,0,0,0,2.0,0,-125.99999999999999,0,0,0,0,0,e2g2,Q,False,"[2, 5, 8, 10, 12, 17, 18, 19, 24, 25, 27, 28, 29, 30, 31, 33, 34, 35]","[2, 8, 33, 34, 35]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2c4')]"
29,0,True,e2d3,r3kbr1/p3ppp1/2n5/1pPp3p/8/3QPPPB/PP6/1RB1K1NR b Kq - 2 15,112.16309373663611,0.5,110,0,0,0,1.6,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[1, 3, 5, 10, 11, 12, 16, 17, 18, 20, 26, 27, 28, 33, 35, 37, 46, 55]","[1, 20, 33, 35]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2d3')]"
29,0,True,e2h2,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPPB/PP5Q/1RB1K1NR b Kq - 2 15,111.00512144212425,-1.0,110,0,0,0,2.0,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[6, 7, 9, 10, 11, 12, 13, 14, 22, 23]","[6, 7, 9, 22, 23]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2h2')]"
29,0,True,e2g2,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPPB/PP4Q1/1RB1K1NR b Kq - 2 15,108.47057054164164,0.0,110,-4,0,0,2.4000000000000004,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[5, 6, 7, 9, 10, 11, 12, 13, 15, 21, 22, 23]","[6, 7, 9, 21, 22, 23]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2g2')]"
29,0,True,e2f2,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPPB/PP3Q2/1RB1K1NR b Kq - 2 15,112.43143711236651,0.0,110,0,0,0,2.4000000000000004,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[4, 5, 6, 9, 10, 11, 12, 14, 15, 20, 21, 22]","[4, 6, 9, 20, 21, 22]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2f2')]"
29,0,True,e2d2,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPPB/PP1Q4/1RB1K1NR b Kq - 2 15,112.05141101465317,0.0,110,0,0,0,2.0,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[2, 3, 4, 9, 10, 12, 13, 14, 15, 18, 19, 20, 25, 27, 32, 35]","[2, 4, 9, 20, 35]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2d2')]"
29,0,True,e2c2,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPPB/PPQ5/1RB1K1NR b Kq - 2 15,111.62469259439668,0.0,110,0,0,0,1.6,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[1, 2, 3, 9, 11, 12, 13, 14, 15, 17, 18, 19, 24, 26, 28, 34, 37, 46, 55]","[1, 2, 9, 34]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2c2')]"
29,0,True,e2f1,r3kbr1/p3ppp1/2n5/1pPp3p/8/4PPPB/PP6/1RB1KQNR b Kq - 2 15,111.04986895058656,-1.0,110,0,0,0,2.0,0,-0.0,0,0,0,0,0,e2g2,Q,False,"[4, 6, 12, 13, 14, 19, 21, 23, 26, 33]","[4, 6, 21, 23, 33]","[Move.from_uci('d2d3'), Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('d7d5'), Move.from_uci('d3d4'), Move.from_uci('h7h5'), Move.from_uci('c2c3'), Move.from_uci('f6e4'), Move.from_uci('f2f3'), Move.from_uci('e4c3'), Move.from_uci('d1d2'), Move.from_uci('c3b1'), Move.from_uci('d2f2'), Move.from_uci('b7b5'), Move.from_uci('a1b1'), Move.from_uci('c7c6'), Move.from_uci('g2g3'), Move.from_uci('c8h3'), Move.from_uci('f1h3'), Move.from_uci('h8g8'), Move.from_uci('f2g2'), Move.from_uci('d8c7'), Move.from_uci('g2e2'), Move.from_uci('c7g3'), Move.from_uci('h2g3'), Move.from_uci('c6c5'), Move.from_uci('d4c5'), Move.from_uci('b8c6'), Move.from_uci('e2f1')]"
